model,context_length,mode,num_devices,phase,phase_index,is_peak_phase,mean_occurrences_per_sample,peak_interval_label,mean_interval_peak_gb,max_interval_peak_gb,peak_allocated_before_gb,peak_allocated_after_gb,peak_transient_gb,peak_unattributed_gb,target_weight_gb,target_kv_gb,draft_weight_gb,draft_kv_gb,selected_hidden_gb,context_feature_gb
qwen3-8b,65536,dflash,1,decode: draft forward,6,False,19.69,decode: draft forward,27.6122,27.6868,27.5604,27.5603,0.1264,0.1458,15.2564,9.0703,1.9532,1.2598,0.0006,0.0006
qwen3-8b,65536,dflash,1,decode: draft rollback/crop,7,False,18.844,decode: draft rollback/crop,28.1834,29.9709,29.9709,29.9709,0.0,0.0109,15.2564,9.0,1.9532,1.2503,0.0,2.5
qwen3-8b,65536,dflash,1,decode: draft logits,8,False,18.844,decode: draft logits,28.1919,29.9794,29.9709,29.9751,0.0042,0.0194,15.2564,9.0,1.9532,1.2503,0.0,2.5
qwen3-8b,65536,dflash,1,decode: target verify,9,False,18.844,decode: target verify,29.1914,30.9834,29.9749,29.982,1.0014,1.0208,15.2564,9.0021,1.9532,1.2503,0.0006,2.5
qwen3-8b,65536,dflash,1,decode: verify rollback/crop,10,False,18.844,decode: verify rollback/crop,28.1867,29.9822,29.9822,29.9822,0.0,0.0194,15.2564,9.0022,1.9532,1.2503,0.0006,2.5
qwen3-8b,65536,dflash,1,decode: context-feature build,11,False,18.844,decode: context-feature build,28.1873,29.9828,29.9822,27.4828,0.0006,2.5194,15.2564,9.0022,1.9532,1.2503,0.0006,0.0006
qwen3-8b,65536,baseline,1,prefill: target forward,0,True,1,target layer 35,32.7513,32.7513,17.2201,26.2203,6.531,6.5417,15.2564,9.0,1.9532,0.0,0.0,0.0
qwen3-8b,65536,baseline,1,prefill: first token,2,False,1,prefill: first token,26.2203,26.2203,26.2203,26.2203,0.0,0.0107,15.2564,9.0,1.9532,0.0,0.0,0.0
qwen3-8b,65536,baseline,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,26.2203,26.2203,26.2203,26.2203,0.0,0.0107,15.2564,9.0,1.9532,0.0,0.0,0.0
qwen3-8b,65536,baseline,1,decode: target verify,9,False,49.281,decode: target verify,26.3489,26.4165,26.2904,26.2905,0.126,0.1367,15.2564,9.0702,1.9532,0.0,0.0,0.0
qwen3-8b,65536,baseline,1,decode: verify rollback/crop,10,False,49.281,decode: verify rollback/crop,26.2238,26.2905,26.2905,26.2905,0.0,0.0107,15.2564,9.0702,1.9532,0.0,0.0,0.0
qwen3.5-9b,4096,dflash,1,prefill: target forward,0,True,1,target layer 30,21.8171,21.8171,19.0922,21.0146,0.8025,0.8111,16.6778,1.6719,2.4064,0.0,0.25,0.0
qwen3.5-9b,4096,dflash,1,prefill: context-feature build,1,False,1,prefill: context-feature build,21.2646,21.2646,21.0146,21.0146,0.25,0.5086,16.6778,1.6719,2.4064,0.0,0.0,0.0
qwen3.5-9b,4096,dflash,1,prefill: first token,2,False,1,prefill: first token,21.0146,21.0146,21.0146,21.0146,0.0,0.2586,16.6778,1.6719,2.4064,0.0,0.0,0.0
qwen3.5-9b,4096,dflash,1,prefill: context-feature concat,3,False,1,prefill: context-feature concat,21.0146,21.0146,21.0146,21.0146,0.0,0.0086,16.6778,1.6719,2.4064,0.0,0.0,0.25
qwen3.5-9b,4096,dflash,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,21.0146,21.0146,21.0146,21.0146,0.0,0.0086,16.6778,1.6719,2.4064,0.0,0.0,0.25
qwen3.5-9b,4096,dflash,1,decode: first draft forward,5,False,1,decode: first draft forward,21.2054,21.2055,21.0146,21.109,0.0965,0.1053,16.6778,1.6719,2.4064,0.0941,0.0,0.25
qwen3.5-9b,4096,dflash,1,decode: draft forward,6,False,40.048,decode: draft forward,19.451,19.4633,19.3994,19.3994,0.0638,0.0866,16.6778,0.1943,2.4064,0.0963,0.001,0.001
qwen3.5-9b,4096,dflash,1,decode: draft rollback/crop,7,False,27.281,decode: draft rollback/crop,20.0907,21.109,21.109,21.109,0.0,0.0088,16.6778,1.6719,2.4064,0.0941,0.0,0.25
qwen3.5-9b,4096,dflash,1,decode: draft logits,8,False,27.281,decode: draft logits,20.1045,21.1228,21.109,21.1159,0.0069,0.0227,16.6778,1.6719,2.4064,0.0941,0.0,0.25
qwen3.5-9b,4096,dflash,1,decode: target verify,9,False,27.281,decode: target verify,20.1338,21.1169,21.1159,19.6316,0.001,1.508,16.6778,0.1797,2.4064,0.0941,0.001,0.25
qwen3.5-9b,4096,dflash,1,decode: verify rollback/crop,10,False,27.281,decode: verify rollback/crop,19.4874,19.6316,19.6316,19.6316,0.0,0.0227,16.6778,0.1797,2.4064,0.0941,0.001,0.25
qwen3.5-9b,4096,dflash,1,decode: context-feature build,11,False,27.281,decode: context-feature build,19.4884,19.6326,19.6316,19.3826,0.001,0.2727,16.6778,0.1797,2.4064,0.0941,0.001,0.001
qwen3.5-9b,4096,baseline,1,prefill: target forward,0,True,1,target layer 30,21.5983,21.5984,19.0922,20.7646,0.8338,0.8424,16.6778,1.6719,2.4064,0.0,0.0,0.0
qwen3.5-9b,4096,baseline,1,prefill: first token,2,False,1,prefill: first token,20.7646,20.7646,20.7646,20.7646,0.0,0.0086,16.6778,1.6719,2.4064,0.0,0.0,0.0
qwen3.5-9b,4096,baseline,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,20.7646,20.7646,20.7646,20.7646,0.0,0.0086,16.6778,1.6719,2.4064,0.0,0.0,0.0
qwen3.5-9b,4096,baseline,1,decode: target verify,9,False,177.094,decode: target verify,19.4383,20.7647,20.7646,19.2664,0.0001,1.5068,16.6778,0.1737,2.4064,0.0,0.0,0.0
qwen3.5-9b,4096,baseline,1,decode: verify rollback/crop,10,False,177.094,decode: verify rollback/crop,19.2691,19.282,19.282,19.282,0.0,0.0086,16.6778,0.1893,2.4064,0.0,0.0,0.0
qwen3.5-9b,8192,dflash,1,prefill: target forward,0,True,1,target layer 30,24.4918,24.4918,19.0924,22.8897,1.6021,1.6108,16.6778,3.2969,2.4064,0.0,0.5,0.0
qwen3.5-9b,8192,dflash,1,prefill: context-feature build,1,False,1,prefill: context-feature build,23.3897,23.3897,22.8897,22.8897,0.5,1.0087,16.6778,3.2969,2.4064,0.0,0.0,0.0
qwen3.5-9b,8192,dflash,1,prefill: first token,2,False,1,prefill: first token,22.8897,22.8897,22.8897,22.8897,0.0,0.5087,16.6778,3.2969,2.4064,0.0,0.0,0.0
qwen3.5-9b,8192,dflash,1,prefill: context-feature concat,3,False,1,prefill: context-feature concat,22.8897,22.8897,22.8897,22.8897,0.0,0.0087,16.6778,3.2969,2.4064,0.0,0.0,0.5
qwen3.5-9b,8192,dflash,1,prefill: rollback/crop,4,False,1,prefill: rollback/crop,22.8897,22.8897,22.8897,22.8897,0.0,0.0087,16.6778,3.2969,2.4064,0.0,0.0,0.5
qwen3.5-9b,8192,dflash,1,decode: first draft forward,5,False,1,decode: first draft forward,23.2702,23.2702,22.8897,23.0779,0.1924,0.2014,16.6778,3.2969,2.4064,0.1879,0.0,0.5
qwen3.5-9b,8192,dflash,1,decode: draft forward,6,False,47.059,decode: draft forward,19.5984,19.6494,19.6015,19.5235,0.0479,0.1488,16.6778,0.3047,2.4064,0.1099,0.001,0.001
qwen3.5-9b,8192,dflash,1,decode: draft rollback/crop,7,False,26,decode: draft rollback/crop,21.338,23.0779,23.0779,23.0779,0.0,0.009,16.6778,3.2969,2.4064,0.1879,0.0,0.5
